"firm_id","ticker","company_name","year","fs_pdf_path","ar_pdf_path","price_csv_path","fs_downloaded","ar_downloaded","price_downloaded","extraction_done","notes"
"MCAS","MCAS","M Cash Integrasi Tbk","2025",".\data\raw\MCAS_2025_FS.pdf",".\data\annual_reports\MCAS_2025_AR.pdf",".\data\prices\prices_MCAS.JK.csv","0","0","0","",""
"NFCX","NFCX","NFC Indonesia Tbk","2019",".\data\raw\NFCX_2019_FS.pdf",".\data\annual_reports\NFCX_2019_AR.pdf",".\data\prices\prices_NFCX.JK.csv","0","0","0","",""
"NFCX","NFCX","NFC Indonesia Tbk","2020",".\data\raw\NFCX_2020_FS.pdf",".\data\annual_reports\NFCX_2020_AR.pdf",".\data\prices\prices_NFCX.JK.csv","0","0","0","",""
"NFCX","NFCX","NFC Indonesia Tbk","2021",".\data\raw\NFCX_2021_FS.pdf",".\data\annual_reports\NFCX_2021_AR.pdf",".\data\prices\prices_NFCX.JK.csv","0","0","0","",""
"NFCX","NFCX","NFC Indonesia Tbk","2022",".\data\raw\NFCX_2022_FS.pdf",".\data\annual_reports\NFCX_2022_AR.pdf",".\data\prices\prices_NFCX.JK.csv","0","0","0","",""
"NFCX","NFCX","NFC Indonesia Tbk","2023",".\data\raw\NFCX_2023_FS.pdf",".\data\annual_reports\NFCX_2023_AR.pdf",".\data\prices\prices_NFCX.JK.csv","0","0","0","",""
"NFCX","NFCX","NFC Indonesia Tbk","2024",".\data\raw\NFCX_2024_FS.pdf",".\data\annual_reports\NFCX_2024_AR.pdf",".\data\prices\prices_NFCX.JK.csv","0","0","0","",""
"NFCX","NFCX","NFC Indonesia Tbk","2025",".\data\raw\NFCX_2025_FS.pdf",".\data\annual_reports\NFCX_2025_AR.pdf",".\data\prices\prices_NFCX.JK.csv","0","0","0","",""
"DIVA","DIVA","Distribusi Voucher Nusantara Tbk","2019",".\data\raw\DIVA_2019_FS.pdf",".\data\annual_reports\DIVA_2019_AR.pdf",".\data\prices\prices_DIVA.JK.csv","0","0","0","",""
"DIVA","DIVA","Distribusi Voucher Nusantara Tbk","2020",".\data\raw\DIVA_2020_FS.pdf",".\data\annual_reports\DIVA_2020_AR.pdf",".\data\prices\prices_DIVA.JK.csv","0","0","0","",""
"DIVA","DIVA","Distribusi Voucher Nusantara Tbk","2021",".\data\raw\DIVA_2021_FS.pdf",".\data\annual_reports\DIVA_2021_AR.pdf",".\data\prices\prices_DIVA.JK.csv","0","0","0","",""
"DIVA","DIVA","Distribusi Voucher Nusantara Tbk","2022",".\data\raw\DIVA_2022_FS.pdf",".\data\annual_reports\DIVA_2022_AR.pdf",".\data\prices\prices_DIVA.JK.csv","0","0","0","",""
"DIVA","DIVA","Distribusi Voucher Nusantara Tbk","2023",".\data\raw\DIVA_2023_FS.pdf",".\data\annual_reports\DIVA_2023_AR.pdf",".\data\prices\prices_DIVA.JK.csv","0","0","0","",""
"DIVA","DIVA","Distribusi Voucher Nusantara Tbk","2024",".\data\raw\DIVA_2024_FS.pdf",".\data\annual_reports\DIVA_2024_AR.pdf",".\data\prices\prices_DIVA.JK.csv","0","0","0","",""
"DIVA","DIVA","Distribusi Voucher Nusantara Tbk","2025",".\data\raw\DIVA_2025_FS.pdf",".\data\annual_reports\DIVA_2025_AR.pdf",".\data\prices\prices_DIVA.JK.csv","0","0","0","",""
"LUCK","LUCK","Sentral Mitra Informatika Tbk","2019",".\data\raw\LUCK_2019_FS.pdf",".\data\annual_reports\LUCK_2019_AR.pdf",".\data\prices\prices_LUCK.JK.csv","0","0","0","",""
"LUCK","LUCK","Sentral Mitra Informatika Tbk","2020",".\data\raw\LUCK_2020_FS.pdf",".\data\annual_reports\LUCK_2020_AR.pdf",".\data\prices\prices_LUCK.JK.csv","0","0","0","",""
"LUCK","LUCK","Sentral Mitra Informatika Tbk","2021",".\data\raw\LUCK_2021_FS.pdf",".\data\annual_reports\LUCK_2021_AR.pdf",".\data\prices\prices_LUCK.JK.csv","0","0","0","",""
"LUCK","LUCK","Sentral Mitra Informatika Tbk","2022",".\data\raw\LUCK_2022_FS.pdf",".\data\annual_reports\LUCK_2022_AR.pdf",".\data\prices\prices_LUCK.JK.csv","0","0","0","",""
"LUCK","LUCK","Sentral Mitra Informatika Tbk","2023",".\data\raw\LUCK_2023_FS.pdf",".\data\annual_reports\LUCK_2023_AR.pdf",".\data\prices\prices_LUCK.JK.csv","0","0","0","",""
"LUCK","LUCK","Sentral Mitra Informatika Tbk","2024",".\data\raw\LUCK_2024_FS.pdf",".\data\annual_reports\LUCK_2024_AR.pdf",".\data\prices\prices_LUCK.JK.csv","0","0","0","",""
"LUCK","LUCK","Sentral Mitra Informatika Tbk","2025",".\data\raw\LUCK_2025_FS.pdf",".\data\annual_reports\LUCK_2025_AR.pdf",".\data\prices\prices_LUCK.JK.csv","0","0","0","",""
"ISAT","ISAT","Indosat Tbk","2019",".\data\raw\ISAT_2019_FS.pdf",".\data\annual_reports\ISAT_2019_AR.pdf",".\data\prices\prices_ISAT.JK.csv","0","0","0","",""
"ISAT","ISAT","Indosat Tbk","2020",".\data\raw\ISAT_2020_FS.pdf",".\data\annual_reports\ISAT_2020_AR.pdf",".\data\prices\prices_ISAT.JK.csv","0","0","0","",""
"ISAT","ISAT","Indosat Tbk","2021",".\data\raw\ISAT_2021_FS.pdf",".\data\annual_reports\ISAT_2021_AR.pdf",".\data\prices\prices_ISAT.JK.csv","0","0","0","",""
"ISAT","ISAT","Indosat Tbk","2022",".\data\raw\ISAT_2022_FS.pdf",".\data\annual_reports\ISAT_2022_AR.pdf",".\data\prices\prices_ISAT.JK.csv","0","0","0","",""
