"ticker","year","company_name","expected_price_csv","yahoo_symbol","source_hint"
"NFCX","2023","NFC Indonesia Tbk",".\data\prices\prices_NFCX.JK.csv","NFCX.JK","Yahoo Finance / IDX price history"
"NFCX","2024","NFC Indonesia Tbk",".\data\prices\prices_NFCX.JK.csv","NFCX.JK","Yahoo Finance / IDX price history"
"NFCX","2025","NFC Indonesia Tbk",".\data\prices\prices_NFCX.JK.csv","NFCX.JK","Yahoo Finance / IDX price history"
"DIVA","2019","Distribusi Voucher Nusantara Tbk",".\data\prices\prices_DIVA.JK.csv","DIVA.JK","Yahoo Finance / IDX price history"
"DIVA","2020","Distribusi Voucher Nusantara Tbk",".\data\prices\prices_DIVA.JK.csv","DIVA.JK","Yahoo Finance / IDX price history"
"DIVA","2021","Distribusi Voucher Nusantara Tbk",".\data\prices\prices_DIVA.JK.csv","DIVA.JK","Yahoo Finance / IDX price history"
"DIVA","2022","Distribusi Voucher Nusantara Tbk",".\data\prices\prices_DIVA.JK.csv","DIVA.JK","Yahoo Finance / IDX price history"
"DIVA","2023","Distribusi Voucher Nusantara Tbk",".\data\prices\prices_DIVA.JK.csv","DIVA.JK","Yahoo Finance / IDX price history"
"DIVA","2024","Distribusi Voucher Nusantara Tbk",".\data\prices\prices_DIVA.JK.csv","DIVA.JK","Yahoo Finance / IDX price history"
"DIVA","2025","Distribusi Voucher Nusantara Tbk",".\data\prices\prices_DIVA.JK.csv","DIVA.JK","Yahoo Finance / IDX price history"
"LUCK","2019","Sentral Mitra Informatika Tbk",".\data\prices\prices_LUCK.JK.csv","LUCK.JK","Yahoo Finance / IDX price history"
"LUCK","2020","Sentral Mitra Informatika Tbk",".\data\prices\prices_LUCK.JK.csv","LUCK.JK","Yahoo Finance / IDX price history"
"LUCK","2021","Sentral Mitra Informatika Tbk",".\data\prices\prices_LUCK.JK.csv","LUCK.JK","Yahoo Finance / IDX price history"
"LUCK","2022","Sentral Mitra Informatika Tbk",".\data\prices\prices_LUCK.JK.csv","LUCK.JK","Yahoo Finance / IDX price history"
"LUCK","2023","Sentral Mitra Informatika Tbk",".\data\prices\prices_LUCK.JK.csv","LUCK.JK","Yahoo Finance / IDX price history"
"LUCK","2024","Sentral Mitra Informatika Tbk",".\data\prices\prices_LUCK.JK.csv","LUCK.JK","Yahoo Finance / IDX price history"
"LUCK","2025","Sentral Mitra Informatika Tbk",".\data\prices\prices_LUCK.JK.csv","LUCK.JK","Yahoo Finance / IDX price history"
"ISAT","2019","Indosat Tbk",".\data\prices\prices_ISAT.JK.csv","ISAT.JK","Yahoo Finance / IDX price history"
"ISAT","2020","Indosat Tbk",".\data\prices\prices_ISAT.JK.csv","ISAT.JK","Yahoo Finance / IDX price history"
"ISAT","2021","Indosat Tbk",".\data\prices\prices_ISAT.JK.csv","ISAT.JK","Yahoo Finance / IDX price history"
"ISAT","2022","Indosat Tbk",".\data\prices\prices_ISAT.JK.csv","ISAT.JK","Yahoo Finance / IDX price history"
"ISAT","2023","Indosat Tbk",".\data\prices\prices_ISAT.JK.csv","ISAT.JK","Yahoo Finance / IDX price history"
"ISAT","2024","Indosat Tbk",".\data\prices\prices_ISAT.JK.csv","ISAT.JK","Yahoo Finance / IDX price history"
"ISAT","2025","Indosat Tbk",".\data\prices\prices_ISAT.JK.csv","ISAT.JK","Yahoo Finance / IDX price history"
"TLKM","2019","Telkom Indonesia (Persero) Tbk",".\data\prices\prices_TLKM.JK.csv","TLKM.JK","Yahoo Finance / IDX price history"
"TLKM","2020","Telkom Indonesia (Persero) Tbk",".\data\prices\prices_TLKM.JK.csv","TLKM.JK","Yahoo Finance / IDX price history"
"TLKM","2021","Telkom Indonesia (Persero) Tbk",".\data\prices\prices_TLKM.JK.csv","TLKM.JK","Yahoo Finance / IDX price history"
"TLKM","2022","Telkom Indonesia (Persero) Tbk",".\data\prices\prices_TLKM.JK.csv","TLKM.JK","Yahoo Finance / IDX price history"
"TLKM","2023","Telkom Indonesia (Persero) Tbk",".\data\prices\prices_TLKM.JK.csv","TLKM.JK","Yahoo Finance / IDX price history"
"TLKM","2024","Telkom Indonesia (Persero) Tbk",".\data\prices\prices_TLKM.JK.csv","TLKM.JK","Yahoo Finance / IDX price history"
"TLKM","2025","Telkom Indonesia (Persero) Tbk",".\data\prices\prices_TLKM.JK.csv","TLKM.JK","Yahoo Finance / IDX price history"
"KBLV","2019","First Media Tbk",".\data\prices\prices_KBLV.JK.csv","KBLV.JK","Yahoo Finance / IDX price history"
"KBLV","2020","First Media Tbk",".\data\prices\prices_KBLV.JK.csv","KBLV.JK","Yahoo Finance / IDX price history"
"KBLV","2021","First Media Tbk",".\data\prices\prices_KBLV.JK.csv","KBLV.JK","Yahoo Finance / IDX price history"
"KBLV","2022","First Media Tbk",".\data\prices\prices_KBLV.JK.csv","KBLV.JK","Yahoo Finance / IDX price history"
"KBLV","2023","First Media Tbk",".\data\prices\prices_KBLV.JK.csv","KBLV.JK","Yahoo Finance / IDX price history"
"KBLV","2024","First Media Tbk",".\data\prices\prices_KBLV.JK.csv","KBLV.JK","Yahoo Finance / IDX price history"
"KBLV","2025","First Media Tbk",".\data\prices\prices_KBLV.JK.csv","KBLV.JK","Yahoo Finance / IDX price history"
"CENT","2019","Centratama Telekomunikasi Indonesia Tbk",".\data\prices\prices_CENT.JK.csv","CENT.JK","Yahoo Finance / IDX price history"
"CENT","2020","Centratama Telekomunikasi Indonesia Tbk",".\data\prices\prices_CENT.JK.csv","CENT.JK","Yahoo Finance / IDX price history"
"CENT","2021","Centratama Telekomunikasi Indonesia Tbk",".\data\prices\prices_CENT.JK.csv","CENT.JK","Yahoo Finance / IDX price history"
"CENT","2022","Centratama Telekomunikasi Indonesia Tbk",".\data\prices\prices_CENT.JK.csv","CENT.JK","Yahoo Finance / IDX price history"
"CENT","2023","Centratama Telekomunikasi Indonesia Tbk",".\data\prices\prices_CENT.JK.csv","CENT.JK","Yahoo Finance / IDX price history"
"CENT","2024","Centratama Telekomunikasi Indonesia Tbk",".\data\prices\prices_CENT.JK.csv","CENT.JK","Yahoo Finance / IDX price history"
"CENT","2025","Centratama Telekomunikasi Indonesia Tbk",".\data\prices\prices_CENT.JK.csv","CENT.JK","Yahoo Finance / IDX price history"
"EXCL","2019","XL Axiata Tbk",".\data\prices\prices_EXCL.JK.csv","EXCL.JK","Yahoo Finance / IDX price history"
"EXCL","2020","XL Axiata Tbk",".\data\prices\prices_EXCL.JK.csv","EXCL.JK","Yahoo Finance / IDX price history"
"EXCL","2021","XL Axiata Tbk",".\data\prices\prices_EXCL.JK.csv","EXCL.JK","Yahoo Finance / IDX price history"
"EXCL","2022","XL Axiata Tbk",".\data\prices\prices_EXCL.JK.csv","EXCL.JK","Yahoo Finance / IDX price history"
"EXCL","2023","XL Axiata Tbk",".\data\prices\prices_EXCL.JK.csv","EXCL.JK","Yahoo Finance / IDX price history"
"EXCL","2024","XL Axiata Tbk",".\data\prices\prices_EXCL.JK.csv","EXCL.JK","Yahoo Finance / IDX price history"
"EXCL","2025","XL Axiata Tbk",".\data\prices\prices_EXCL.JK.csv","EXCL.JK","Yahoo Finance / IDX price history"
"BTEL","2019","Bakrie Telecom Tbk",".\data\prices\prices_BTEL.JK.csv","BTEL.JK","Yahoo Finance / IDX price history"
"BTEL","2020","Bakrie Telecom Tbk",".\data\prices\prices_BTEL.JK.csv","BTEL.JK","Yahoo Finance / IDX price history"
"BTEL","2021","Bakrie Telecom Tbk",".\data\prices\prices_BTEL.JK.csv","BTEL.JK","Yahoo Finance / IDX price history"
"BTEL","2022","Bakrie Telecom Tbk",".\data\prices\prices_BTEL.JK.csv","BTEL.JK","Yahoo Finance / IDX price history"
"BTEL","2023","Bakrie Telecom Tbk",".\data\prices\prices_BTEL.JK.csv","BTEL.JK","Yahoo Finance / IDX price history"
"BTEL","2024","Bakrie Telecom Tbk",".\data\prices\prices_BTEL.JK.csv","BTEL.JK","Yahoo Finance / IDX price history"
"BTEL","2025","Bakrie Telecom Tbk",".\data\prices\prices_BTEL.JK.csv","BTEL.JK","Yahoo Finance / IDX price history"
"FREN","2019","Smartfren Telecom Tbk",".\data\prices\prices_FREN.JK.csv","FREN.JK","Yahoo Finance / IDX price history"
"FREN","2020","Smartfren Telecom Tbk",".\data\prices\prices_FREN.JK.csv","FREN.JK","Yahoo Finance / IDX price history"
"FREN","2021","Smartfren Telecom Tbk",".\data\prices\prices_FREN.JK.csv","FREN.JK","Yahoo Finance / IDX price history"
"FREN","2022","Smartfren Telecom Tbk",".\data\prices\prices_FREN.JK.csv","FREN.JK","Yahoo Finance / IDX price history"
"FREN","2023","Smartfren Telecom Tbk",".\data\prices\prices_FREN.JK.csv","FREN.JK","Yahoo Finance / IDX price history"
"FREN","2024","Smartfren Telecom Tbk",".\data\prices\prices_FREN.JK.csv","FREN.JK","Yahoo Finance / IDX price history"
"FREN","2025","Smartfren Telecom Tbk",".\data\prices\prices_FREN.JK.csv","FREN.JK","Yahoo Finance / IDX price history"
"TOWR","2019","Sarana Menara Nusantara Tbk",".\data\prices\prices_TOWR.JK.csv","TOWR.JK","Yahoo Finance / IDX price history"
"TOWR","2020","Sarana Menara Nusantara Tbk",".\data\prices\prices_TOWR.JK.csv","TOWR.JK","Yahoo Finance / IDX price history"
"TOWR","2021","Sarana Menara Nusantara Tbk",".\data\prices\prices_TOWR.JK.csv","TOWR.JK","Yahoo Finance / IDX price history"
"TOWR","2022","Sarana Menara Nusantara Tbk",".\data\prices\prices_TOWR.JK.csv","TOWR.JK","Yahoo Finance / IDX price history"
"TOWR","2023","Sarana Menara Nusantara Tbk",".\data\prices\prices_TOWR.JK.csv","TOWR.JK","Yahoo Finance / IDX price history"
"TOWR","2024","Sarana Menara Nusantara Tbk",".\data\prices\prices_TOWR.JK.csv","TOWR.JK","Yahoo Finance / IDX price history"
"TOWR","2025","Sarana Menara Nusantara Tbk",".\data\prices\prices_TOWR.JK.csv","TOWR.JK","Yahoo Finance / IDX price history"
"TBIG","2019","Tower Bersama Infrastructure Tbk",".\data\prices\prices_TBIG.JK.csv","TBIG.JK","Yahoo Finance / IDX price history"
"TBIG","2020","Tower Bersama Infrastructure Tbk",".\data\prices\prices_TBIG.JK.csv","TBIG.JK","Yahoo Finance / IDX price history"
"TBIG","2021","Tower Bersama Infrastructure Tbk",".\data\prices\prices_TBIG.JK.csv","TBIG.JK","Yahoo Finance / IDX price history"
"TBIG","2022","Tower Bersama Infrastructure Tbk",".\data\prices\prices_TBIG.JK.csv","TBIG.JK","Yahoo Finance / IDX price history"
"TBIG","2023","Tower Bersama Infrastructure Tbk",".\data\prices\prices_TBIG.JK.csv","TBIG.JK","Yahoo Finance / IDX price history"
"TBIG","2024","Tower Bersama Infrastructure Tbk",".\data\prices\prices_TBIG.JK.csv","TBIG.JK","Yahoo Finance / IDX price history"
"TBIG","2025","Tower Bersama Infrastructure Tbk",".\data\prices\prices_TBIG.JK.csv","TBIG.JK","Yahoo Finance / IDX price history"
"SUPR","2019","Solusi Tunas Pratama Tbk",".\data\prices\prices_SUPR.JK.csv","SUPR.JK","Yahoo Finance / IDX price history"
"SUPR","2020","Solusi Tunas Pratama Tbk",".\data\prices\prices_SUPR.JK.csv","SUPR.JK","Yahoo Finance / IDX price history"
"SUPR","2021","Solusi Tunas Pratama Tbk",".\data\prices\prices_SUPR.JK.csv","SUPR.JK","Yahoo Finance / IDX price history"
"SUPR","2022","Solusi Tunas Pratama Tbk",".\data\prices\prices_SUPR.JK.csv","SUPR.JK","Yahoo Finance / IDX price history"
"SUPR","2023","Solusi Tunas Pratama Tbk",".\data\prices\prices_SUPR.JK.csv","SUPR.JK","Yahoo Finance / IDX price history"
"SUPR","2024","Solusi Tunas Pratama Tbk",".\data\prices\prices_SUPR.JK.csv","SUPR.JK","Yahoo Finance / IDX price history"
"SUPR","2025","Solusi Tunas Pratama Tbk",".\data\prices\prices_SUPR.JK.csv","SUPR.JK","Yahoo Finance / IDX price history"
"IBST","2019","Inti Bangun Sejahtera Tbk",".\data\prices\prices_IBST.JK.csv","IBST.JK","Yahoo Finance / IDX price history"
"IBST","2020","Inti Bangun Sejahtera Tbk",".\data\prices\prices_IBST.JK.csv","IBST.JK","Yahoo Finance / IDX price history"
"IBST","2021","Inti Bangun Sejahtera Tbk",".\data\prices\prices_IBST.JK.csv","IBST.JK","Yahoo Finance / IDX price history"
"IBST","2022","Inti Bangun Sejahtera Tbk",".\data\prices\prices_IBST.JK.csv","IBST.JK","Yahoo Finance / IDX price history"
