"ticker","year","company_name","expected_ar_pdf","source_hint"
"TOWR","2022","Sarana Menara Nusantara Tbk",".\data\annual_reports\TOWR_2022_AR.pdf","IDX / Company website > Annual Report"
"TOWR","2023","Sarana Menara Nusantara Tbk",".\data\annual_reports\TOWR_2023_AR.pdf","IDX / Company website > Annual Report"
"TOWR","2024","Sarana Menara Nusantara Tbk",".\data\annual_reports\TOWR_2024_AR.pdf","IDX / Company website > Annual Report"
"TOWR","2025","Sarana Menara Nusantara Tbk",".\data\annual_reports\TOWR_2025_AR.pdf","IDX / Company website > Annual Report"
"TBIG","2019","Tower Bersama Infrastructure Tbk",".\data\annual_reports\TBIG_2019_AR.pdf","IDX / Company website > Annual Report"
"TBIG","2020","Tower Bersama Infrastructure Tbk",".\data\annual_reports\TBIG_2020_AR.pdf","IDX / Company website > Annual Report"
"TBIG","2021","Tower Bersama Infrastructure Tbk",".\data\annual_reports\TBIG_2021_AR.pdf","IDX / Company website > Annual Report"
"TBIG","2022","Tower Bersama Infrastructure Tbk",".\data\annual_reports\TBIG_2022_AR.pdf","IDX / Company website > Annual Report"
"TBIG","2023","Tower Bersama Infrastructure Tbk",".\data\annual_reports\TBIG_2023_AR.pdf","IDX / Company website > Annual Report"
"TBIG","2024","Tower Bersama Infrastructure Tbk",".\data\annual_reports\TBIG_2024_AR.pdf","IDX / Company website > Annual Report"
"TBIG","2025","Tower Bersama Infrastructure Tbk",".\data\annual_reports\TBIG_2025_AR.pdf","IDX / Company website > Annual Report"
"SUPR","2019","Solusi Tunas Pratama Tbk",".\data\annual_reports\SUPR_2019_AR.pdf","IDX / Company website > Annual Report"
"SUPR","2020","Solusi Tunas Pratama Tbk",".\data\annual_reports\SUPR_2020_AR.pdf","IDX / Company website > Annual Report"
"SUPR","2021","Solusi Tunas Pratama Tbk",".\data\annual_reports\SUPR_2021_AR.pdf","IDX / Company website > Annual Report"
"SUPR","2022","Solusi Tunas Pratama Tbk",".\data\annual_reports\SUPR_2022_AR.pdf","IDX / Company website > Annual Report"
"SUPR","2023","Solusi Tunas Pratama Tbk",".\data\annual_reports\SUPR_2023_AR.pdf","IDX / Company website > Annual Report"
"SUPR","2024","Solusi Tunas Pratama Tbk",".\data\annual_reports\SUPR_2024_AR.pdf","IDX / Company website > Annual Report"
"SUPR","2025","Solusi Tunas Pratama Tbk",".\data\annual_reports\SUPR_2025_AR.pdf","IDX / Company website > Annual Report"
"IBST","2019","Inti Bangun Sejahtera Tbk",".\data\annual_reports\IBST_2019_AR.pdf","IDX / Company website > Annual Report"
"IBST","2020","Inti Bangun Sejahtera Tbk",".\data\annual_reports\IBST_2020_AR.pdf","IDX / Company website > Annual Report"
"IBST","2021","Inti Bangun Sejahtera Tbk",".\data\annual_reports\IBST_2021_AR.pdf","IDX / Company website > Annual Report"
